Institution,Agency,DO_Name,Org_Code,Notes
NA,Aquarium of the Americas,Rodda,AQAM,NA
NA,Aubrey Consulting Inc.,Aubrey,ACI,NA
NA,Bermuda Biological Station for Research,Masters,BBSR,NA
NA,Harbor Branch Foundation Institute,Reed,HBOI,NA
NA,Island Caves Research Center,Bozanic,ICRCI,NA
NA,Louisiana University Marine Consortium,Rabalais,LUMCN,NA
NA,Marine Biological Laboratory,Cipoletta,MBL,NA
NA,Scripps Institution of Oceanography,Pawelek,SIO,NA
NA,South East Diving Institute,Crymes,NA,NA
NA,St. Johns Archaeology Expeditions Inc.,Manley,SJAE,NA
NA,Woods Hole Oceanographic Institute,Rioux,WHOI,NA
NA,Monterey Bay Aquarium,Wilder,NA,NA
NA,Texas State Aquarium,Hendricks,NA,NA
Applied Environmental Sciences,Marine Biological Consultants,Curtis,MBCAES,NA
California State University System,Humboldt State University,Buttolph,CSUHSU,NA
California State University System,Moss Landing Marine Lab,Heine,CSUMLML,NA
Dept. Environmental Protection,Florida Marine Research Institute (DEP),Jaap,DEPFMRI,NA
Duke University,School of the Environment,Boynton,NA,NA
Duke/UNC Oceanographic Consortium,Duke University Marine Laboratory,Sutherland,DUMLOC,NA
East Carolina University,Aquatic Center,Sellers,ECUAC,NA
Florida State University,Academic Diving Program,Stanton,NA,NA
"Minerals Management Service, USDI",Office of Leasing and Environment,Christopher,USMMS,NA
Monterey Bay Aquarium,Monterey Bay Aquarium Research Inst.,Wilder,MBARI,NA
New York Zoological Society,The Aquarium for Wildlife Conservation,Thoney,AWCON,NA
Northeastern University,Marine Science Center,Maney,NEUMSC,NA
Oregon State University,Civil Engineering Dept.,Washburn,OSUCED,NA
Rutgers University,Inst. Of Marine and Coastal Sciences,Petrecca,RUIMCS,NA
San Diego State University,"Dan’s Office, College of Science",Flahan,SDSU,NA
Sea Lab,Marine Environmental Science Consortium,Crozier,MESC,NA
Smithsonian Institution,"Scientific Diving Program, OAS/Sciences",Lang,SI,NA
Stanford University,Hopkins Marine Station,Crane,SUHMS,NA
Texas A and M University,Texas A and M University at Galveston,Illiffe,TAMUG,NA
The College of William and Mary,Virginia Institute of Marine Science,Gouge,VIMS,NA
Univ. Calif. Berkeley,Division of Diving Control,Austin,UCD,Possible error
Univ. Calif. Davis,Bodega Marine Laboratory,Fastenau,NA,NA
Univ. Calif. LA Marine Science Center,Dept. of Biology,DiCristi,NA,NA
University of Alaska,Institute of Marine Science,Jewett,UAIMS,NA
University of Florida,Diving Science and Safety Program,Mellott,UFDSSP,NA
University of Guam,Marine Laboratory,Irish,UGML,NA
University of Hawaii,Diving Safety Program,Hyashi,UHDSP,NA
University of Miami,RSMAS Dive Office,Gomez,UMRSMAS,NA
University of North Carolina at Chapel Hill,Institute of Marine Sciences,Safrit Jr.,UNCCH,NA
University of North Carolina at Wilmington,Office of Diving and Water Safety,Chapman,UNCW,NA
University of Rhode Island,Graduate School of Oceanography,Sharkey,NA,NA
University of South Florida,c/o Wm. Dent – PED 214,Dent,NA,NA
University of Texas at Austin,Marine Science Institute,Dunton,UTMSI,NA
University of Washington,Hall Heath Center,Sublett,UWAS,NA
US Fish and Wildlife Service,US Dept. of Interior,Sanders,NA,NA
US Forestry Service,US Dept. of Agriculture,Reiner,NA,NA
"Walt Disney World, Epcot Center",The Living Seas,Buehn,LSEAS,NA
Western Washington University,Shannon Point Marine Center,Cassidy,WWUSPMC,NA
