"Year","OM","Total Divers","# Air Dives","# Air Divers","Air Dive Time (min)","# MIxed Gas Dives","# Mixed Gas Divers","Mixed Gas Time (mins)","# Nitrox Dives","# Nitrox Divers","Nitrox Dive Time (min)","ContactKey","# Hookah Dives","# Hookah Divers","Hookah Dive Time (min)","# Open Circuit Dives","# Open Circuit Divers","Open Circuit Dive Time (min)","# Rebreather Dives","# Rebreather Divers","Rebreather Dive Time (min)","# Surface Supplied Dives","# Surface Supplied Divers","Surface Supplied Dive Time (min)","# Computer Dives","# Computer Divers","Computer Dive Time (min)","# Software Dives","# Software Divers","Software Dive Time (min)","# Table Dives","# Table Divers","Table Dive Time (min)","# 0-30ft Dives","# 0-30ft Divers","#31-60ft Dives","#31-60ft Divers","#61-100ft Dives","#61-100ft Divers","# 101-130ft Dives","# 101-130ft Divers","# 131-150ft Dives","#131-150ft Divers","# 151-190ft Dives","#151-190ft Divers","# 191+ft Dives","# 191+ft Divers","# Science Dives","# Science Divers","Science Dive Time (min)","#T/P Dives","# T/P Divers","T/P Dive Time (min)","# Aquarium Dives","# Aquarium Divers","Aquarium Dive Time (min)","# Bluewater Dives","# Bluewater Divers","Blue Water Dive Time (min)","# IcePolar Dives","# IcePolar Divers","IcePolar Dive Time (min)","# Overhead Dives","# Overhead Divers","Overhead Dive Time (min)","# ReqDecomp Dives","# ReqDecomp Divers","ReqDecomp Dive Time (min)","# Sat Dives","# Sat Divers","Sat Dive Time (min)","Total  Dive Incidents"
"2021","International School for Scientific Diving","20","442","10","22100","0","0","0","42","12","2100","24860","0","0","0","484","20","24200","0","0","0","0","0","0","484","20","24200","0","0","0","0","0","0","0","0","180","20","220","10","84","10","0","0","0","0","0","0","400","10","20000","84","12","4200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","Aecom","10","94","10","6002","0","0","0","0","0","0","24862","0","0","0","94","10","6002","0","0","0","0","0","0","0","0","0","0","0","0","94","10","6002","59","8","35","7","0","0","0","0","0","0","0","0","0","0","78","7","5571","16","5","431","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","Alaska SeaLife Center","12","423","12","18447","0","0","0","1","1","60","24863","0","0","0","424","12","18507","0","0","0","0","0","0","50","6","2330","0","0","0","374","10","16177","408","12","13","4","3","2","0","0","0","0","0","0","0","0","404","11","17704","20","4","803","405","12","17705","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","Alaska Pacific University","7","97","7","3246","0","0","0","0","0","0","24864","0","0","0","97","7","3246","0","0","0","0","0","0","97","7","3246","0","0","0","0","0","0","80","6","12","5","5","5","0","0","0","0","0","0","0","0","55","6","1923","42","7","1323","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","American Museum of Natural History","0","0","0","0","0","0","0","0","0","0","24866","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","Applied Research Laboratories: The University of Texas @ Austin","14","361","14","7107","0","0","0","0","0","0","24867","0","0","0","361","14","7107","0","0","0","0","0","0","361","14","7107","0","0","0","0","0","0","139","14","222","14","0","0","0","0","0","0","0","0","0","0","315","14","5727","46","14","1380","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","Aquarium of the Pacific","15","190","15","5757","38","3","2346","3","1","154","24868","0","0","0","193","15","5911","38","3","2346","0","0","0","231","15","8257","0","0","0","0","0","0","60","15","62","13","100","14","6","3","3","1","0","0","0","0","231","15","8257","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","Arizona State University - GDCS","8","258","8","6322","0","0","0","0","0","0","24870","0","0","0","258","8","6322","0","0","0","0","0","0","258","8","6322","0","0","0","0","0","0","146","4","112","4","0","0","0","0","0","0","0","0","0","0","258","8","6322","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","AtkinsRéalis USA Inc","12","191","12","8453","0","0","0","35","2","1422","24871","0","0","0","226","12","9875","0","0","0","0","0","0","226","12","9875","0","0","0","0","0","0","167","12","28","9","28","4","3","1","0","0","0","0","0","0","183","12","8061","43","6","1814","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","Bermuda Institute of Ocean Sciences","22","415","22","16807","0","0","0","0","0","0","24872","0","0","0","415","22","16807","0","0","0","0","0","0","415","22","16807","0","0","0","0","0","0","309","22","66","19","40","18","0","0","0","0","0","0","0","0","344","22","14786","71","15","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","Boston University","16","272","16","9565","0","0","0","0","0","0","24873","0","0","0","272","16","9565","0","0","0","0","0","0","220","6","7636","0","0","0","52","15","1929","206","7359","52","1792","14","414","0","0","0","0","0","0","0","0","66","9","2728","206","14","6837","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","Broward County, FL Natural Resources Division","14","75","11","3619","0","0","0","67","13","2318","24874","0","0","0","142","14","5937","0","0","0","0","0","0","142","14","5937","0","0","0","0","0","0","45","8","54","12","29","12","14","5","0","0","0","0","0","0","136","14","5637","6","2","300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","California Academy of Sciences","16","166","15","11783","35","8","3713","0","0","0","24875","0","0","0","84","8","4422","112","9","10952","5","2","122","175","14","14278","0","0","0","26","5","1218","65","13","54","12","40","10","13","7","1","1","7","6","21","7","122","15","8217","79","10","7279","5","2","122","0","0","0","0","0","0","0","0","0","26","5","3183","0","0","0","0"
"2021","California Department of Fish & Wildlife","29","421","26","17826","0","0","0","321","12","13826","24876","0","0","0","742","29","31652","0","0","0","0","0","0","742","29","31652","0","0","0","0","0","0","192","17","196","25","351","16","3","3","0","0","0","0","0","0","734","29","31306","8","4","346","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"2021","California Science Center Foundation","19","84","19","2614","0","0","0","0","0","0","24877","0","0","0","84","18","2614","0","0","0","0","0","0","24","9","1783","0","0","0","60","13","831","58","18","25","9","1","1","0","0","0","0","0","0","0","0","65","15","1893","19","10","721","17","13","460","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","California State University Monterey Bay","45","452","45","18735","0","0","0","0","0","0","24879","0","0","0","452","45","18735","0","0","0","0","0","0","444","42","18524","2","1","49","6","2","162","200","44","199","29","48","16","1","1","4","3","0","0","0","0","312","16","14151","140","39","4584","0","0","0","1","1","27","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","California Polytechnic State University San Luis Obispo","20","216","20","5264","0","0","0","0","0","0","24880","0","0","0","214","20","5249","0","0","0","2","2","15","85","8","1843","0","0","0","131","13","3421","131","18","75","16","2","2","1","1","7","7","0","0","0","0","58","11","1263","158","13","4001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","Aptim","9","0","0","0","0","0","0","436","9","20286","24884","0","0","0","436","9","20286","0","0","0","0","0","0","436","9","20286","0","0","0","0","0","0","434","9","2","2","0","0","0","0","0","0","0","0","0","0","436","9","20286","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","CSA Ocean Sciences Inc,","22","1048","22","54637","0","0","0","756","13","39038","24885","0","0","0","1804","22","93675","0","0","0","0","0","0","1804","22","93675","0","0","0","0","0","0","1078","22","590","15","136","15","0","0","0","0","0","0","0","0","1682","22","86975","122","15","6700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","Dauphin Island Sea Lab","28","441","28","12322","0","0","0","0","0","0","24886","0","0","0","441","28","12322","0","0","0","0","0","0","413","27","11170","0","0","0","28","4","1152","162","19","167","21","103","14","9","6","0","0","0","0","0","0","357","23","9857","84","14","2465","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","Dial Cordy and Associates Inc.","5","0","0","0","0","0","0","512","5","21456","24889","0","0","0","512","5","21456","0","0","0","0","0","0","512","5","21456","0","0","0","0","0","0","512","5","0","0","0","0","0","0","0","0","0","0","0","0","507","5","21294","5","5","162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","Duke University","5","110","5","3545","0","0","0","0","0","0","24890","0","0","0","110","5","3545","0","0","0","0","0","0","108","4","3505","0","0","0","2","1","40","79","4","25","4","4","2","2","1","0","0","0","0","0","0","33","2","1433","77","5","2112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","East Carolina University","33","405","33","17778","0","0","0","33","10","717","24891","0","0","0","436","33","18456","2","1","39","0","0","0","438","33","18495","0","0","0","0","0","0","353","31","64","17","21","10","0","0","0","0","0","0","0","0","261","26","12555","177","28","5940","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
