"Year","OM","Total Divers","# Air Dives","# Air Divers","Air Dive Time (min)","# MIxed Gas Dives","# Mixed Gas Divers","Mixed Gas Time (mins)","# Nitrox Dives","# Nitrox Divers","Nitrox Dive Time (min)","ContactKey","# Hookah Dives","# Hookah Divers","Hookah Dive Time (min)","# Open Circuit Dives","# Open Circuit Divers","Open Circuit Dive Time (min)","# Rebreather Dives","# Rebreather Divers","Rebreather Dive Time (min)","# Surface Supplied Dives","# Surface Supplied Divers","Surface Supplied Dive Time (min)","# Computer Dives","# Computer Divers","Computer Dive Time (min)","# Software Dives","# Software Divers","Software Dive Time (min)","# Table Dives","# Table Divers","Table Dive Time (min)","# 0-30ft Dives","# 0-30ft Divers","#31-60ft Dives","#31-60ft Divers","#61-100ft Dives","#61-100ft Divers","# 101-130ft Dives","# 101-130ft Divers","# 131-150ft Dives","#131-150ft Divers","# 151-190ft Dives","#151-190ft Divers","# 191+ft Dives","# 191+ft Divers","# Science Dives","# Science Divers","Science Dive Time (min)","#T/P Dives","# T/P Divers","T/P Dive Time (min)","# Aquarium Dives","# Aquarium Divers","Aquarium Dive Time (min)","# Bluewater Dives","# Bluewater Divers","Blue Water Dive Time (min)","# IcePolar Dives","# IcePolar Divers","IcePolar Dive Time (min)","# Overhead Dives","# Overhead Divers","Overhead Dive Time (min)","# ReqDecomp Dives","# ReqDecomp Divers","ReqDecomp Dive Time (min)","# Sat Dives","# Sat Divers","Sat Dive Time (min)","Total  Dive Incidents"
"2018","International School for Scientific Diving","30","210","30","10500","0","0","0","180","6","9000","24860","0","0","0","390","30","19500","0","0","0","0","0","0","390","30","19500","0","0","0","0","0","0","0","0","100","30","150","30","140","10","0","0","0","0","0","0","180","6","9000","210","30","10500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","International School for Scientific Diving","12","220","11","11000","0","0","0","185","6","9250","24860","0","0","0","405","12","20250","0","0","0","0","0","0","405","12","20250","0","0","0","0","0","0","0","0","185","11","145","10","75","10","0","0","0","0","0","0","285","9","14250","120","8","6000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","International School for Scientific Diving","22","185","22","9250","0","0","0","73","8","3650","24860","0","0","0","258","22","12900","0","0","0","0","0","0","258","22","12900","0","0","0","0","0","0","0","0","126","22","82","18","50","6","0","0","0","0","0","0","136","6","6800","122","20","6100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","International School for Scientific Diving","15","180","15","9000","0","0","0","85","8","4250","24860","0","0","0","265","15","13250","0","0","0","0","0","0","265","15","13250","0","0","0","0","0","0","0","0","105","15","110","15","50","6","0","0","0","0","0","0","130","5","6500","135","15","6750","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","International School for Scientific Diving","20","160","20","8000","0","0","0","150","6","7500","24860","0","0","0","310","20","15500","0","0","0","0","0","0","310","20","15500","0","0","0","0","0","0","0","0","110","20","125","20","75","10","0","0","0","0","0","0","150","6","7500","160","20","8000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","International School for Scientific Diving","18","180","18","9000","0","0","0","105","6","6300","24860","0","0","0","285","18","15300","0","0","0","0","0","0","285","18","15300","0","0","0","0","0","0","0","0","108","18","105","18","72","6","0","0","0","0","0","0","105","6","6300","180","18","9000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","International School for Scientific Diving","12","230","12","11500","0","0","0","120","5","6000","24860","0","0","0","350","12","17500","0","0","0","0","0","0","350","12","17500","0","0","0","0","0","0","0","0","100","12","200","12","50","5","0","0","0","0","0","0","300","10","15000","50","5","2500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019","International School for Scientific Diving","20","140","20","6300","0","0","0","144","6","7200","24860","0","0","0","284","20","13500","0","0","0","0","0","0","284","20","13500","0","0","0","0","0","0","0","0","82","20","122","20","80","6","0","0","0","0","0","0","144","6","7200","140","20","6300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020","International School for Scientific Diving","12","230","12","11500","0","0","0","120","5","6000","24860","0","0","0","350","12","17500","0","0","0","0","0","0","350","12","17500","0","0","0","0","0","0","0","0","85","12","215","10","50","10","0","0","0","0","0","0","300","10","15000","50","5","2500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","International School for Scientific Diving","20","442","10","22100","0","0","0","42","12","2100","24860","0","0","0","484","20","24200","0","0","0","0","0","0","484","20","24200","0","0","0","0","0","0","0","0","180","20","220","10","84","10","0","0","0","0","0","0","400","10","20000","84","12","4200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
