"Year","Company","Type","Created On"
"2002","Aquarium of the Pacific","Other","1/30/2003 5:54:16 PM"
"2003","Audubon Aquarium of the Americas","Injury","1/7/2004 2:02:08 PM"
"1998","Audubon Aquarium of the Americas","Injury","6/22/1905 12:00:00 AM"
"2000","Audubon Aquarium of the Americas","Hyperbaric","6/24/1905 12:00:00 AM"
"2000","Bermuda Institute of Ocean Sciences","Barotrauma","6/24/1905 12:00:00 AM"
"2000","Bermuda Institute of Ocean Sciences","Hyperbaric","6/24/1905 12:00:00 AM"
"2016","Cal Poly Humboldt","Injury","7/16/2017 3:56:22 PM"
"2013","Cal Poly Humboldt","Injury","6/30/2014 7:39:33 AM"
"2001","Cal Poly Humboldt","Injury","8/22/2002 4:40:07 PM"
"2002","Cal Poly Humboldt","Injury","2/17/2003 6:58:58 PM"
"2008","California Academy of Sciences","Other","3/25/2010 1:00:18 PM"
"2009","California Academy of Sciences","Injury","3/25/2010 3:25:19 PM"
"2019","California Academy of Sciences","Hyperbaric","4/4/2020 5:56:30 PM"
"2018","California Department of Fish & Wildlife","Barotrauma","2/15/2019 6:21:56 PM"
"2018","California Department of Fish & Wildlife","Barotrauma","2/15/2019 6:32:34 PM"
"2001","California Department of Fish & Wildlife","Barotrauma","4/16/2002 8:00:46 PM"
"2001","California Department of Fish & Wildlife","Barotrauma","4/16/2002 8:14:20 PM"
"2002","California Department of Fish & Wildlife","Other","4/8/2003 12:00:00 AM"
"2011","California Department of Fish & Wildlife","Barotrauma","6/25/2012 11:09:01 AM"
"2010","California Department of Fish & Wildlife","Other","6/29/2011 3:56:50 PM"
"2007","California Department of Fish & Wildlife","Barotrauma","7/3/2008 6:22:47 PM"
"2013","California Department of Fish & Wildlife","Barotrauma","4/4/2014 1:55:28 PM"
"2021","California Department of Fish & Wildlife","Other","3/3/2022 2:04:38 PM"
"2011","California Science Center Foundation","Barotrauma","4/7/2011 11:18:38 AM"
"2007","California State University, Ocean Studies Institute","Hyperbaric","2/22/2008 12:07:33 PM"
"2005","California State University, Ocean Studies Institute","Hyperbaric","2/17/2006 11:57:31 PM"
"2014","California State University, Ocean Studies Institute","Injury","3/31/2015 1:55:54 PM"
"2015","Dauphin Island Sea Lab","Other","1/21/2016 1:13:52 PM"
"2013","Dauphin Island Sea Lab","Barotrauma","12/13/2014 2:15:25 PM"
"1999","Dauphin Island Sea Lab","Injury","6/23/1905 12:00:00 AM"
"1999","Dauphin Island Sea Lab","Hyperbaric","6/23/1905 12:00:00 AM"
"1999","Dauphin Island Sea Lab","Hyperbaric","6/23/1905 12:00:00 AM"
"2006","Dauphin Island Sea Lab","Hyperbaric","6/1/2007 11:06:26 AM"
"2007","Dauphin Island Sea Lab","Barotrauma","5/29/2008 4:12:27 PM"
"2011","Dauphin Island Sea Lab","Barotrauma","2/1/2012 1:40:48 PM"
"2001","Dauphin Island Sea Lab","Injury","3/29/2011 10:59:26 AM"
"1998","East Carolina University","Injury","6/22/1905 12:00:00 AM"
"1998","East Carolina University","Injury","6/22/1905 12:00:00 AM"
"2007","East Carolina University","Hyperbaric","3/4/2008 3:32:35 PM"
"1991","Florida State University","Near Drowning","6/15/1905 12:00:00 AM"
"1991","Florida State University","Hyperbaric","6/15/1905 12:00:00 AM"
"2016","Florida State University","Barotrauma","2/21/2017 2:53:02 PM"
"2002","FWC/Fish and Wildlife Research Institute","Barotrauma","2/18/2003 2:47:50 PM"
"2000","FWC/Fish and Wildlife Research Institute","Injury","6/24/1905 12:00:00 AM"
"2012","Georgia Aquarium Inc.","Barotrauma","3/28/2013 12:56:41 PM"
"2002","Harbor Branch Oceanographic Institution","Hyperbaric","3/4/2003 8:55:41 AM"
"1999","Harbor Branch Oceanographic Institution","Hyperbaric","6/23/1905 12:00:00 AM"
"2016","Hawaii Division of Aquatic Resources","Hyperbaric","6/30/2016 10:09:57 AM"
"2005","Hawaii Division of Aquatic Resources","Barotrauma","1/23/2006 11:48:15 PM"
"2013","Institute for Sustainable Technology","Hyperbaric","1/31/2014 1:07:19 PM"
"2016","Los Angeles County Sanitation Districts","Hyperbaric","3/7/2017 2:35:30 PM"
"2003","Louisiana Universities Marine Consortium","Barotrauma","10/4/2004 4:29:23 PM"
"2003","Louisiana Universities Marine Consortium","Injury","10/4/2004 4:42:47 PM"
"2007","Louisiana Universities Marine Consortium","Injury","4/11/2008 4:34:23 PM"
"2014","Monterey Bay Aquarium Research Institute (MBARI)","Injury","3/31/2015 9:37:50 AM"
"2002","Moss Landing Marine Laboratories","Barotrauma","5/22/2003 2:50:00 PM"
"2002","Moss Landing Marine Laboratories","Hyperbaric","5/22/2003 2:58:55 PM"
"2007","Moss Landing Marine Laboratories","Hyperbaric","2/20/2008 3:36:04 PM"
"2003","Moss Landing Marine Laboratories","Hypoxia/Hypercapnea","2/26/2004 7:56:58 PM"
"2004","Moss Landing Marine Laboratories","Barotrauma","2/7/2005 8:18:44 PM"
"2009","Moss Landing Marine Laboratories","Hyperbaric","6/2/2011 4:24:35 PM"
"2010","Moss Landing Marine Laboratories","Hyperbaric","8/25/2011 11:15:08 AM"
"2009","NC Aquarium At Ft Fisher","Barotrauma","3/23/2010 6:12:55 AM"
"1999","NIWA New Zealand","Barotrauma","6/23/1905 12:00:00 AM"
"1999","NIWA New Zealand","Other","6/23/1905 12:00:00 AM"
"2021","NIWA New Zealand","Injury","2/8/2022 8:19:06 PM"
"2021","NIWA New Zealand","Injury","4/19/2022 6:15:41 PM"
"2011","North Carolina Aquariums","Barotrauma","1/20/2012 1:48:15 PM"
"2005","Northeastern University","Fatality","5/24/2007 4:09:46 PM"
"1991","Northeastern University","Hyperbaric","6/15/1905 12:00:00 AM"
"2002","Northeastern University","Other","4/21/2003 10:10:02 AM"
"2000","Nova Southeastern University Halmos College of Arts and Sciences","Hyperbaric","6/24/1905 12:00:00 AM"
"2000","Nova Southeastern University Halmos College of Arts and Sciences","Hyperbaric","6/24/1905 12:00:00 AM"
"2003","Nova Southeastern University Halmos College of Arts and Sciences","Hyperbaric","1/28/2003 12:00:00 AM"
"2011","Nova Southeastern University Halmos College of Arts and Sciences","Injury","3/8/2012 11:29:46 AM"
"2006","Pennsylvania State University","Barotrauma","3/30/2011 2:49:50 PM"
"2002","Perry Institute for Marine Science, Caribbean Marine Research Center","Hyperbaric","9/26/2002 12:00:00 AM"
"2006","Rutgers University-School of Environmental and Biological Sciences","Fatality","6/30/1905 12:00:00 AM"
"2016","Scripps Institution of Oceanography/UC San Diego","Injury","4/28/2017 1:19:09 PM"
"2019","Scripps Institution of Oceanography/UC San Diego","Hyperbaric","4/21/2020 1:20:55 PM"
"2014","SCUBAnauts International, Inc.","Hypoxia/Hypercapnea","12/21/2015 7:22:45 AM"
"2013","Sea Life Park Hawaii","Injury","3/2/2014 2:37:18 PM"
"2012","Sea Life Park Hawaii","Injury","11/1/2013 11:08:31 PM"
"2015","Seattle Aquarium","Barotrauma","1/20/2016 2:25:26 PM"
"2015","Seattle Aquarium","Barotrauma","1/20/2016 2:47:13 PM"
"2002","Shoals Marine Laboratory","Hyperbaric","2/18/2003 8:39:59 AM"
"2002","Shoals Marine Laboratory","Barotrauma","2/18/2003 9:10:00 AM"
"2003","Shoals Marine Laboratory","Barotrauma","2/1/2004 9:35:34 AM"
"2002","Smithsonian Institution","Hyperbaric","7/11/2003 12:35:46 PM"
"2006","South Carolina Aquarium","Hyperbaric","4/19/2007 10:51:29 AM"
"1987","Stanford University","Hyperbaric","6/11/1905 12:00:00 AM"
"2007","Stanford University","Hyperbaric","2/21/2008 1:39:27 PM"
"2009","Stanford University","Hyperbaric","1/26/2010 9:56:52 AM"
"1997","Stanford University","Hyperbaric","2/3/2005 6:08:05 PM"
"2014","Stanford University","Other","1/28/2015 5:23:26 PM"
"2013","Tenera Environmental","Barotrauma","3/13/2014 2:41:55 PM"
"2016","Tenera Environmental","Barotrauma","4/10/2017 9:20:41 AM"
"2001","Texas A&M University Galveston","Other","6/25/1905 12:00:00 AM"
"2004","Texas A&M University Galveston","Other","6/28/1905 12:00:00 AM"
"2004","Texas A&M University Galveston","Other","6/28/1905 12:00:00 AM"
"2013","Texas Parks and Wildlife - Artificial Reef Program","Hyperbaric","4/16/2014 5:51:23 AM"
"2011","Texas State Aquarium","Injury","1/9/2012 2:16:58 PM"
"2002","The American National Fish and Wildlife Museum","Hyperbaric","5/17/2004 6:00:56 PM"
"1999","The Florida Aquarium","Hyperbaric","6/23/1905 12:00:00 AM"
"2011","The Interuniversity Institute for Marine Sciences in Eilat","Hyperbaric","3/6/2012 10:30:06 PM"
"2012","The Interuniversity Institute for Marine Sciences in Eilat","Hypoxia/Hypercapnea","4/21/2013 1:26:45 AM"
"2015","The Interuniversity Institute for Marine Sciences in Eilat","Hyperbaric","4/21/2015 2:11:11 AM"
"2014","The Nature Conservancy, Hawaii Field Office","Other","3/30/2015 7:28:50 PM"
"2015","The University of Maine","Hyperbaric","1/25/2016 10:29:15 AM"
"2004","The University of Maine","Hyperbaric","1/4/2005 3:01:51 PM"
"2010","University of Alaska","Other","6/8/2011 2:54:11 PM"
"2002","University of Alaska","Other","2/24/2003 2:49:23 PM"
"2016","University of Belize","Hyperbaric","2/27/2017 1:32:06 PM"
"2016","University of Belize","Hyperbaric","2/27/2017 2:13:25 PM"
"2016","University of Belize","Hyperbaric","2/21/2017 2:43:33 PM"
"2003","University of California, Santa Barbara","Hyperbaric","2/3/2012 3:42:51 PM"
"2012","University of California, Santa Barbara","Hyperbaric","1/22/2013 3:49:41 PM"
"2006","University of California, Santa Barbara","Barotrauma","3/1/2007 7:00:57 PM"
"2006","University of California, Santa Barbara","Barotrauma","6/30/1905 12:00:00 AM"
"2006","University of California, Santa Barbara","Barotrauma","6/30/1905 12:00:00 AM"
"2003","University of California, Santa Barbara","Hyperbaric","6/27/1905 12:00:00 AM"
"2004","University of California, Santa Barbara","Illness","6/28/1905 12:00:00 AM"
"2004","University of California, Santa Barbara","Injury","6/28/1905 12:00:00 AM"
"2004","University of California, Santa Barbara","Hyperbaric","6/28/1905 12:00:00 AM"
"2004","University of California, Santa Barbara","Hyperbaric","6/28/1905 12:00:00 AM"
"2004","University of California, Santa Barbara","Barotrauma","6/28/1905 12:00:00 AM"
"2004","University of California, Santa Barbara","Barotrauma","6/28/1905 12:00:00 AM"
"2015","University of California, Santa Barbara","Hyperbaric","4/6/2016 10:59:50 AM"
"2016","University of California, Santa Barbara","Barotrauma","1/23/2017 3:18:19 PM"
"2015","University of California, Santa Barbara","Hyperbaric","4/6/2016 11:36:42 AM"
"2017","University of California, Santa Barbara","Barotrauma","3/5/2018 9:36:36 AM"
"2020","University of California, Santa Barbara","Illness","1/28/2021 7:45:20 PM"
"2021","University of California, Santa Barbara","Barotrauma","2/11/2022 11:30:37 PM"
"2000","University of California, Santa Cruz","Hypoxia/Hypercapnea","6/24/1905 12:00:00 AM"
"2000","University of California, Santa Cruz","Injury","6/24/1905 12:00:00 AM"
"2005","University of California, Santa Cruz","Hyperbaric","2/1/2006 7:29:06 PM"
"2005","University of California, Santa Cruz","Hyperbaric","2/1/2006 7:35:24 PM"
"2000","University of Connecticut Marine Sciences","Hyperbaric","6/24/1905 12:00:00 AM"
"2000","University of Connecticut Marine Sciences","Hyperbaric","6/24/1905 12:00:00 AM"
"2001","University of Florida","Hyperbaric","6/24/2002 12:33:11 PM"
"2001","University of Florida","Hyperbaric","6/24/2002 1:23:14 PM"
"2001","University of Florida","Injury","6/24/2002 1:55:15 PM"
"2005","University of Florida","Hyperbaric","2/15/2006 4:25:05 PM"
"2016","University of Florida","Barotrauma","3/29/2017 7:03:24 AM"
"2012","University of Hawaii","Other","10/7/2013 6:52:10 PM"
"2013","University of Hawaii","Barotrauma","2/19/2014 2:26:57 PM"
"2006","University of Hawaii","Hyperbaric","2/23/2007 10:02:22 PM"
"1999","University of Hawaii","Hyperbaric","6/23/1905 12:00:00 AM"
"2015","University of Hawaii","Barotrauma","3/29/2016 3:46:55 PM"
"2015","University of Hawaii","Hyperoxic","3/29/2016 4:01:48 PM"
"1992","University of Miami/RSMAS","Hyperbaric","6/16/1905 12:00:00 AM"
"2002","University of Miami/RSMAS","Barotrauma","2/27/2003 11:34:18 AM"
"2002","University of Miami/RSMAS","Injury","2/27/2003 11:47:15 AM"
"2002","University of Miami/RSMAS","Injury","2/27/2003 12:09:15 PM"
