Industry,Rate,Year
"Agriculture, forestry, fishing and hunting",5,2017
"Mining, quarrying, and oil and gas extraction",1.5,2017
Construction,3.1,2017
Manufacturing,3.5,2017
"Trade, transportation, and utilities",3.4,2017
"Newspaper, periodical, book, and directory publishers",1.1,2017
"Finance, insurance, and real estate",1,2017
Educational services,1.9,2017
Performing arts companies,5.9,2017
Scientific Diving,0.14,2017
"Agriculture, forestry, fishing and hunting",6.1,2016
"Mining, quarrying, and oil and gas extraction",1.5,2016
Construction,3.2,2016
Manufacturing,3.6,2016
"Trade, transportation, and utilities",3.4,2016
"Newspaper, periodical, book, and directory publishers",1.3,2016
"Finance, insurance, and real estate",1.1,2016
Educational services,2,2016
Performing arts companies,6.5,2016
Scientific Diving,0.22,2016
"Agriculture, forestry, fishing and hunting",5.7,2015
"Mining, quarrying, and oil and gas extraction",1.4,2015
Construction,3.5,2015
Manufacturing,3.8,2015
"Trade, transportation, and utilities",3.6,2015
"Newspaper, periodical, book, and directory publishers",1.4,2015
"Finance, insurance, and real estate",1.1,2015
Educational services,2.1,2015
Performing arts companies,5.3,2015
Scientific Diving,0.19,2015
"Agriculture, forestry, fishing and hunting",5.5,2014
"Mining, quarrying, and oil and gas extraction",2,2014
Construction,3.6,2014
Manufacturing,4,2014
"Trade, transportation, and utilities",3.6,2014
"Newspaper, periodical, book, and directory publishers",1.7,2014
"Finance, insurance, and real estate",1.2,2014
Educational services,2.1,2014
Performing arts companies,5.4,2014
Scientific Diving,0.12,2014
"Agriculture, forestry, fishing and hunting",5.7,2013
"Mining, quarrying, and oil and gas extraction",2,2013
Construction,3.8,2013
Manufacturing,4,2013
"Trade, transportation, and utilities",3.8,2013
"Newspaper, periodical, book, and directory publishers",1.5,2013
"Finance, insurance, and real estate",0.7,2013
Educational services,2,2013
Performing arts companies,6,2013
Scientific Diving,0.18,2013
"Agriculture, forestry, fishing and hunting",5.5,2012
"Mining, quarrying, and oil and gas extraction",2.1,2012
Construction,3.7,2012
Manufacturing,4.2,2012
"Trade, transportation, and utilities",3.9,2012
"Newspaper, periodical, book, and directory publishers",1.5,2012
"Finance, insurance, and real estate",0.8,2012
Educational services,1.9,2012
Performing arts companies,5.3,2012
Scientific Diving,0.17,2012
"Agriculture, forestry, fishing and hunting",5.5,2011
"Mining, quarrying, and oil and gas extraction",2.2,2011
Construction,3.9,2011
Manufacturing,4.3,2011
"Trade, transportation, and utilities",3.9,2011
"Newspaper, periodical, book, and directory publishers",2.2,2011
"Finance, insurance, and real estate",0.8,2011
Educational services,2.1,2011
Performing arts companies,7.4,2011
Scientific Diving,0.24,2011
"Agriculture, forestry, fishing and hunting",4.8,2010
"Mining, quarrying, and oil and gas extraction",2.3,2010
Construction,4,2010
Manufacturing,4.4,2010
"Trade, transportation, and utilities",4.1,2010
"Newspaper, periodical, book, and directory publishers",1.8,2010
"Finance, insurance, and real estate",0.8,2010
Educational services,2.2,2010
Performing arts companies,7.3,2010
Scientific Diving,0.08,2010
"Agriculture, forestry, fishing and hunting",5.3,2009
"Mining, quarrying, and oil and gas extraction",2.4,2009
Construction,4.3,2009
Manufacturing,4.3,2009
"Trade, transportation, and utilities",4.1,2009
"Newspaper, periodical, book, and directory publishers",1.9,2009
"Finance, insurance, and real estate",0.8,2009
Educational services,2.4,2009
Performing arts companies,8.2,2009
Scientific Diving,0.14,2009
"Agriculture, forestry, fishing and hunting",5.3,2008
"Mining, quarrying, and oil and gas extraction",2.9,2008
Construction,4.7,2008
Manufacturing,5,2008
"Trade, transportation, and utilities",4.4,2008
"Newspaper, periodical, book, and directory publishers",2.2,2008
"Finance, insurance, and real estate",0.9,2008
Educational services,2.3,2008
Performing arts companies,6.4,2008
Scientific Diving,0.07,2008
"Agriculture, forestry, fishing and hunting",5.4,2007
"Mining, quarrying, and oil and gas extraction",3.1,2007
Construction,5.4,2007
